"releaseid","prdate","headline","prcopy","noteslabel","notestextcopy","photolabel","phototextcopy","keyword1","keyword2","keyword3","keyword4","keyword5","shortdescription","shorttitle"
"4796","17/07/2014 12:15:00","PLANNING ENFORCEMENT SENDS A MESSAGE","A dozen properties in Kensington and Chelsea felt the force of the Royal Borough&#39;s planning enforcement team during June.<br /><br />The owners of a house at Douro Place W8 were served with an enforcement notice in connection with an unauthorised rooflight.  The owners of 62 Portobello Road W11 received a similar notice for an unauthorised wall and railings.  The owner of 27 Langton Street, SW10 was served with an enforcement notice in relation to an unauthorised roof terrace.  And an enforcement notice was also served on the owners of Petersham House, SW7 because of an unauthorised extract flue.  <br /><br />Meanwhile, the owner of 186 Holland Park Avenue W11 was hit with a notice ordering unauthorised work to stop on the listed building and then a further notice requiring repair and redecoration.  The owner of a house on Holland Park W11 was also served with a Section 215 notice requiring repair and redecoration.  <br /><br />Most notably, the owner of 104 Portland Road found himself in court for failing to comply with an enforcement notice in relation to an unauthorised roof terrace.  He was fined £15,000 at Isleworth Crown Court and had £25,350 confiscated under the Proceeds of Crime Act.  In addition, he was ordered to pay the Council&#39;s costs of £3,580 and will face 15 months in prison if he fails to pay the confiscation order within three months.<br /><br />&#34;Owners and developers must respect planning law and they must respect their neighbours,&#34; said Cllr Tim Coleridge, the Royal Borough&#39;s Cabinet Member for Planning, &#34;there is nothing optional about it, as a number of people in Kensington and Chelsea have recently found out.&#34;<br />","NULL","NULL","NULL","NULL","Cllr Coleridge ",,,,,"A dozen properties in Kensington and Chelsea felt the force of the Royal Borough&#39;s planning enforcement team during June.","Planning enforcement sends a message"
"4797","17/07/2014 14:32:00","TWO LEGAL NOTICES SERVED AFTER COMPLAINTS ABOUT BASEMENT DEVELOPMENT","Royal Borough of Kensington and Chelsea planners have ordered work on a basement development to stop unless the developer, W11 Construction Ltd and the owner Blue Arrow Ltd, stick to a construction traffic management plan following residents&#39; complaints that construction vehicles were not keeping to agreed routes.<br /><br />Planning permission had been granted for a two-storey basement development at 3 Campden Hill Place, W11, subject to a condition that disturbance to residents by construction traffic would be minimised following a Construction Traffic Management Plan (CTMP).<br /><br />At the beginning of May the Council received complaints from members of the public about traffic associated with work on this property. Planners warned the developer that legal action would be taken if they continued to breach the CTMP. This warning was not heeded so the Council&#39;s Planning Enforcement Team issued both a Breach of Condition Notice and a Temporary Stop Notice on both companies on the 16 July 2014. The effect of both notices means any future breaches of the CTMP by the developers will be a criminal offence. Each breach could lead to a maximum penalty of £20,000 in a magistrates court and unlimited if heard in a crown court.<br /><br />Cllr Timothy Coleridge, Cabinet Member for Planning Policy, said: &#34;Conditions were placed on the traffic movements when planning permission was granted for this development to prevent the developers from disrupting the rest of the neighbourhood. We will not tolerate developers ignoring planning conditions when it affects the everyday lives of our residents and the issuing of both notices in the same day is testament to our strict stance.&#34;<br /><br />Construction traffic in residential areas, particularly from basement developments, can have a big impact on the lives of neighbouring residents if developers ignore their planning conditions. The Royal Borough will use all legal powers at its disposal to ensure planning conditions are followed.<br /><br />","NULL","NULL","NULL","NULL","Cllr Coleridge ",,,,,"Royal Borough of Kensington and Chelsea planners have ordered work on a basement development to stop unless the developer, W11 Construction Ltd and the owner Blue Arrow Ltd, stick to a construction traffic management plan following residents&#39; complaints that construction vehicles were not keeping to agreed routes.","Two legal notices served after complaints about basement development"
"4798","17/07/2014 15:49:00","DISRUPTION ON SATURDAY 19 JULY 2014 - KENSINGTON HIGH STREET","Traffic disruption will occur on and around Kensington High Street on Saturday 19 July when a large march to demonstrate about events in Gaza and Israel will take place.<br /><br />The march, which is expected to attract between 10,000 and 15,000 people, begins in Whitehall and will finish at Kensington High Street by the junction with Kensington Palace Gardens where there will be a rally and speeches. It is expected to conclude by about 6.30pm.<br /><br />There will be approximately 1,000 police officers policing the event from Whitehall to Kensington and local police have spoken to affected residents and businesses.<br /><br />The event means the police have decided to close Kensington High Street from about noon, but, in light of representations from the community, the south pavement will be protected by barriers to allow the community and businesses to carry on as normal.<br />","NULL","NULL","NULL","NULL",,,,,,"Traffic disruption will occur on and around Kensington High Street on Saturday 19 July when a large march to demonstrate about events in Gaza and Israel will take place.","Disruption on Saturday 19 July - Kensington High Street"
"4800","18/07/2014 14:57:00","PROTECTING KENSINGTON AND CHELSEA'S PLAY SERVICES ","Last night (Thursday 17 July) Cabinet agreed a strategy to protect play services in the Royal Borough and place them on a sustainable financial footing for the future.  <br /><br />The plans would see responsibility for delivering after school and holiday childcare transferred from the Council to primary schools or third sector providers from April 2015. The proposals would also result in community play projects being managed by third sector providers from April 2015, lifting the Council&#39;s management burden and protecting valuable front line play services.<br /><br />Between 2010 and 2014 Government funding for Children&#39;s Services fell by £12.3m - approximately a third.  As a big spending department the Council&#39;s Play Service is inevitably affected. <br /><br />These plans would yield the greatest levels of savings for the Council (over £1.3 million in the first three years), whilst preserving a comprehensive childcare offer for working parents and at the same time protecting community play projects.  Up and down the country only a very small minority of local authorities provide play and childcare services directly.  <br /><br />Six of the borough&#39;s primary schools are already providing high quality after school childcare and play services that reflect local needs at no cost to the Council. In the autumn, the Council will provide schools with business support so that this model can be replicated borough-wide from April 2015.  <br /><br />Primary schools will also be given transitional funding so this service remains affordable, ensuring that any fee increases are gradual and in line with the introduction of the new childcare benefit.  From September 2015 working families will be able to access the new tax-free childcare scheme allowing them to recover 20 per cent of their childcare costs.  Families on low incomes will continue to be supported. <br /><br />Councillor Elizabeth Campbell, the Royal Borough&#39;s Cabinet Member for Family and Children&#39;s Service, said:<br /><br />&#34;We know how vital it is that our parents can access affordable, high quality after school childcare and primary schools in Kensington and Chelsea are already successfully delivering this service.<br /><br />&#34;Faced with large reductions in Government funding we can no longer afford to subsidise childcare for  working parents, especially when most will be receiving the new childcare benefit next year.<br /><br />&#34;We firmly believe that primary schools and social enterprises have the expertise needed to build upon our existing play service so that it remains one of the best in the Capital.&#34;<br />","NULL","NULL","NULL","NULL","Play services  ","Government funding  ","childcare ","Play services  ","cllr campbell ","Last night (Thursday 17 July) Cabinet agreed a strategy to protect play services in the Royal Borough and place them on a sustainable financial footing for the future.  ","Protecting Kensington and Chelsea&#39;s play services  "
"4801","18/07/2014 16:03:00","Mobile Police Station in Powis Gardens until Saturday 26 July 2014","Are you concerned about youth violence or antisocial behaviour? <br /><br />If you would like to speak to police about these or any other matters, you can now visit the mobile police station in Powis Gardens until Saturday 26 July.  It is open at the following times:<br /><br /> Sunday to Wednesday from 8am to 10pm<br /> Thursday to Saturday, 24-hours<br /><br />You can also contact your ward officers on 020 8721 3005 or if you wish to remain anonymous, Crimestoppers on 0800 555111.<br />","NULL","NULL","NULL","NULL","Community Safety","Powis gardens","Police",,,"Are you concerned about youth violence or antisocial behaviour? ","Mobile Police Station in Powis Gardens until Saturday 26 July 2014"
"4802","23/07/2014 17:34:00","Future of Thamesbrook to be debated","The Royal Borough&#39;s Cabinet last night (Thursday 17 July) gave officers the go-ahead to review options for Thamesbrook, a nursing and care home for older people in Chelsea. <br /><br />The 56-bed home* is currently temporarily closed following the discovery of intractable Legionella bacteria in the water system, which, despite the best efforts of the staff, led to an unacceptable reduction in care standards at the home and a planned evacuation of residents was carried out.<br /><br />Built in the 1960s, Thamesbrook is one of the few homes in the UK still run by a local authority and the only one run by the Council.  As well as Legionella, the building has many other defects.  It is tired and institutional.  Rooms are some 16 per cent smaller than modern standards.  None can be classified as wheelchair compliant.  The furniture layout is relatively fixed, meaning residents have less choice about where things go and what personal items they can bring in and several rooms cannot meet current care standards because it is impossible to provide care from either side of the bed.<br /><br />In addition, the overall layout of narrow winding corridors and units spread across three floors makes supervision much more difficult and contributes to far higher running costs than the norm.  A place at Thamesbrook costs approximately twice as much as a place in a private nursing home offering objectively higher standards of accommodation**. <br /><br />During last night&#39;s debate, the Cabinet heard that to simply reopen Thamesbrook on an `as was&#39; basis would require extensive repair and plant modernisation necessitating many months of further closure.  And the cost of that would be considerable at a time when the traditional old people&#39;s home looks increasingly outdated. <br /><br />Rather than the one size fits all service offered by Thamesbrook, local authorities are these days trying to deliver care tailored or `personalised&#39; to individual need.   The review will consider four options including refurbishing the home, remodelling it, replacing it with extra care units either on the site or elsewhere.<br /><br />In extra care housing schemes older people rent, lease or buy their own homes in developments where care is available on site in the quantity and type needed, and which can &#34;scale up&#34; as people become older and frailer.  The evidence is that the extra care approach produces more years of good health and independence but there is a severe shortage of this kind of accommodation in the Royal Borough ***. <br /><br />Commenting on the Cabinet decision to order a fundamental review, Cllr Mary Weale, Cabinet Member for Adult Social Care, said:<br /> <br />&#34;The building simply does not meet the standards we want for our older people.  It is also very expensive to run in its current configuration.  It was a difficult decision to move residents but having been convinced of the advisability and done so, we should now pause and reflect on the future of Thamesbrook to make sure that we provide the best possible facilities for elderly residents.<br /><br />&#34;Before we take any decision about its future, we intend to consult.&#34;","NULL","NULL","NULL","NULL","cllr Weale","Thamesbrook","older people","care homes","Extra care","The Royal Borough&#39;s Cabinet last night (Thursday 17 July) gave officers the go-ahead to review options for Thamesbrook, a nursing and care home for older people in Chelsea. ","Future of Thamesbrook to be debated"
"4804","22/07/2014 10:32:00","DEMONSTRATIONS ON 22 AND 26 JULY - KENSINGTON HIGH STREET","Traffic disruption will occur on and around Kensington High Street on Tuesday 22 July and Saturday 26 July as a result of two demonstrations outside the Israeli Embassy.<br /><br />The demonstration on Tuesday 22 July will take place between 5pm and 7pm and the police expect approximately 3,000 to attend.<br /><br />A larger event is planned for Saturday 26 July where the police expect about 15,000 to take part. <br /><br />Both events will result in Kensington High Street being closed to traffic.<br /><br />","NULL","NULL","NULL","NULL",,,,,,"Traffic disruption will occur on and around Kensington High Street on Tuesday 22 July and Saturday 26 July as a result of two demonstrations outside the Israeli Embassy.","Demonstrations on 22 and 26 July - Kensington High Street"
"4805","23/07/2014 15:49:00","FOUR LEGAL NOTICES SERVED ON BASEMENT DEVELOPERS IN SW7","Royal Borough of Kensington and Chelsea planners have ordered work on basement developments at three properties on Clareville Grove and Clareville Street in SW7 to stop unless the developers stick to agreed construction traffic management plans following residents&#39; concerns that vehicles were causing disruption along the two streets.  <br /><br />The three properties, 3C Clareville Grove, 19 Clareville Grove and 42-44 Clareville Street, are all currently implementing planning permissions for basement developments and other associated works. The granting of each of these permissions was subject to a condition that disturbance to residents by construction traffic would be minimised through adherence to a Construction Traffic Management Plan (CTMP). <br /> <br />Following complaints received by the Council about traffic associated with the developments, planners made a series of visits to the two streets during which time construction works at all three properties were found to be in breach of the requirements of the respective CTMPs. Consequently, the Council&#39;s Planning Enforcement Team issued Breach of Condition Notices on the property owners and the development companies Alonso Builders, Capitol Construction and M J Rooney. Furthermore, a Temporary Stop Notice was served on Capitol Construction at 19 Clareville Grove due the repeated nature of the offence. The effect of these notices means any future breaches of the CTMP by the developers will be a criminal offence. Each breach witnessed could lead to a maximum penalty of £20,000 in a magistrates court and unlimited if heard in a crown court.<br /><br />Cllr Timothy Coleridge, Cabinet Member for Planning Policy, said: &#34;The Council is increasingly clamping down on developers who fail to comply with planning conditions, and the action taken in these two streets underlines our concerted efforts to hold developers to their word and prevent their actions from disrupting the lives of our residents.&#34; <br /> <br />Construction traffic in residential areas, particularly from basement developments, can have a big impact on the lives of neighbouring residents if developers ignore their planning conditions. The Royal Borough will use all legal powers at its disposal to ensure planning conditions are followed. Over the last two months nine legal notices have been served by the Planning Enforcement Team on developers for breaching their CTMPs.<br /> <br /><br />","NULL","NULL","NULL","NULL","basements ","legal notices ","cllr Coleridge ",,,"Royal Borough of Kensington and Chelsea planners have ordered work on basement developments at three properties on Clareville Grove and Clareville Street in SW7 to stop unless the developers stick to agreed construction traffic management plans following residents&#39; concerns that vehicles were causing disruption along the two streets.  ","Four legal notices served on basement developers in SW7"
"4806","24/07/2014 12:32:00","TWO DAYS LEFT TO RESPOND TO TfL'S CROSSRAIL 2 STATION CONSULTATION","Residents and businesses have just two days left to respond to TfL&#39;s consultation on the route for Crossrail 2 and the Council is urging residents to help make sure the line stops in Chelsea.<br /><br />In the past six weeks TfL has been consulting on three options: one with a station at Dovehouse Street, another with a station further west at Cremorne, and one that bypasses the borough altogether.<br /><br />The consultation ends on Friday 25 July and residents can have their say online at www.crossrail2.co.uk<br /><br />&#34;After so many years of campaigning for Crossrail 2 it would be a disaster if we were to fall at the final hurdle,&#34; said Cllr Tim Coleridge, Cabinet Member for Transport. <br /><br />&#34;Chelsea is poorly served by public transport.  Our streets are congested and our air quality is poor.  A Crossrail station would make a massive difference so it&#39;s worrying at this late stage to see an option there that bypasses Chelsea altogether.  We urge as many residents as possible to get involved in the consultation and demand our station.&#34;<br /><br />The Council has long supported the idea of a new rail line connecting south-west and north-east London and last year it checked to make sure the people of Chelsea agreed.<br /><br />About 3,000 Chelsea residents and businesses replied to the Council&#39;s survey, with around 70 per cent expressing support for the new line and a station in Chelsea.<br /><br />There was more support than opposition right across the survey area, although support was particularly high to the west.  And while there was strong support for a station at the Chelsea Fire Station site on Dovehouse Street, opinion was divided almost equally between those who felt this was the best location and those who thought it might be better placed further west.  <br /><br />The Council itself supports the Chelsea Fire Station option because it believes this site offers the best combination of public transport and economic benefits.<br /><br /><br />Crossrail 2 would relieve pressure on major London stations such as Euston, Victoria and Clapham Junction and ease congestion on very busy Tube lines. In some cases, journey times could be more than halved.<br /><br />The line would pass deep under Chelsea and a station on the King&#39;s Road would, among other things, link residents to Clapham Junction, the West End and four of London&#39;s busiest mainline stations.<br /><br />The idea for Crossrail 2, formerly called the Chelsea-Hackney Line, has been around for many decades, with the Chelsea Fire Station having long been earmarked as a potential site for the station.<br /><br />Parts of Chelsea remain poorly served by public transport and the Council believes the line would:<br /><br /> dramatically improve local transport options<br /><br /> relieve local and city-wide congestion<br /><br /> ease pressure on the transport network<br /><br /> improve air quality<br /><br /> dramatically improve journey times<br /><br /> help the hard-pressed retail sector<br /><br /><br />Residents can also participate online at http://www.crossrail2.co.uk<br />","NULL","NULL","NULL","NULL","Crossrail 2 ",,,,,"Residents and businesses have just two days left to respond to TfL&#39;s consultation on the route for Crossrail 2 and the Council is urging residents to help make sure the line stops in Chelsea.","Two days left to respond to TfL&#39;s Crossrail 2 station consultation"
"4807","25/07/2014 16:50:00","Update on demonstration on Saturday 26 July about events in Gaza and Israel - Kensington High Street","Traffic disruption will occur on and around Kensington High Street on Saturday 26 July as a result of a demonstration outside the Israeli Embassy.<br /><br />The police expect about 15,000 people to take part.   Demonstrators will assemble between 11am and 12pm outside the Israeli Embassy and march to Trafalgar Square for a rally commencing at 2.30pm. <br /><br />Kensington High Street will be closed to traffic as a result.<br />","NULL","NULL","NULL","NULL",,,,,,"Traffic disruption will occur on and around Kensington High Street on Saturday 26 July as a result of a demonstration outside the Israeli Embassy.","Update on demonstration on Saturday 26 July about events in Gaza and Israel - Kensington High Street"
"4810","28/07/2014 10:26:00","ROADS CLOSED FOR PRUDENTIAL RIDELONDON CYCLE EVENT ON SUNDAY 10 AUGUST","Residents and businesses should expect severe traffic and public transport disruption on Sunday 10 August when amateur and professional cyclists ride though the borough as part of the Prudential RideLondon event.<br /><br />Developed by the Mayor of London and his agencies, Prudential RideLondon is a world-class festival of cycling taking place over the weekend of Saturday 9 and Sunday 10 August 2014.<br /><br />Roads in Kensington and Chelsea will be affected on Sunday 10 August when 24,000 amateur riders and 150 professional cyclists follow a route from east London out to Surrey before returning to London for a finish on The Mall.<br /><br />The route enters the borough in Knightsbridge and travels along the A4 before entering Hammersmith and Fulham.  Cyclists will then come back into the borough via King&#39;s Road, Ashburnham Road, Cremorne Road, Cheyne Walk and Chelsea Embankment before an exciting finish on The Mall.<br /><br />Closing 100 miles of roads and bridges will have a major impact on traffic, public transport and parking.  It is not just the roads the cyclists ride along that will be affected.  Many other local roads will be closed to traffic from the early hours of Sunday 10 August to allow the event to pass safely through the borough.  It is anticipated roads will remain closed until the early evening.  Vehicles parked on the route will be removed.  If you normally park your vehicle on any of the roads affected you will need to make alternative arrangements on Sunday 10 August.<br /><br />Roads along the route will be closed from 5am on Sunday 10 August and will not fully reopen until the early evening.<br /><br />In the borough Knightsbridge, Brompton Road and the Cromwell Road will close at 5am and are not expected to open until approximately 3pm.<br /><br />King&#39;s Road, Cheyne Walk and Chelsea Embankment are expected to close at 7.30am and will remain closed until about 7pm.<br /><br />For further information and advice about travel disruption go to www.tfl.gov.uk/campaign/prudential-ridelondon/travel-disruption-and-advice<br /><br />Councillor Tim Coleridge, the Royal Borough of Kensington and Chelsea&#39;s Cabinet Member for Transport, said: &#34;Our experience from last year&#39;s event suggests that major disruption is inevitable.  There will be local parking restrictions and road closures.<br /><br />&#34;I do urge residents and businesses to get this date into their diary to make sure they are not caught out when the cyclists arrive on Sunday 10 August.  <br /><br />&#34;Of course both the amateur event, which will raise an enormous amount of money for good causes, and the professional race, will be exciting spectacles. However, you simply cannot have an event of this scale without it having an enormous impact on our roads.<br /><br />&#34;The best way to minimise inconvenience and disruption to your plans is to be aware of the date and plan ahead.&#34;<br /><br />More information about Prudential RideLondon and details of the final route can be found on the organiser&#39;s website www.prudentialridelondon.co.uk<br /><br /><br />","NULL","NULL","NULL","NULL",,,,,,"Residents and businesses should expect severe traffic and public transport disruption on Sunday 10 August when amateur and professional cyclists ride though the borough as part of the Prudential RideLondon event.","Roads closed for Prudential RideLondon cycle event on Sunday 10 August"
"4811","28/07/2014 13:28:00","COUNCIL STEPS IN TO FUND EMERGENCY HELP","Emergency financial support for people in crisis will be protected in Kensington and Chelsea next year despite the cancellation of the government grant which funds it.<br /><br />Previously paid by the Department of Work and Pensions (DWP), emergency support grants were delegated to local authorities in 2013.  However the DWP has now indicated that it intends to withdraw the money which pays for them.  As a result, Kensington and Chelsea has decided to step in and meet the cost itself which is estimated to be £435,000 in 2015/16.<br /><br />In 2013/14 Royal Borough emergency grants helped hundreds of people on benefits to move from B&#38;Bs into unfurnished homes, flee domestic violence, repair or replace broken down cookers and fridges or simply keep body and soul together following crime, flood or other misfortune.<br /><br />Councillor Warwick Lightfoot, the Royal Borough of Kensington and Chelsea&#39;s Cabinet Member for Finance and Strategy, said: &#34;It is plain  that the public finances remain a serious constraint and that the government and local authorities are having to take very difficult decisions to ensure that they are sustainable in the future.<br /><br />&#34;But no one should believe it is easy for local government to absorb this cut.  Our decision to use the Council&#39;s money to replace central government funding means that we have to make further progress in increasing our efficiency,  getting better value for the money we spend and more efficient use of the property assets that we own. It is increased efficiency and economy that enables the Council to continue to help vulnerable people in practical ways.&#34;<br /><br />In addition to paying emergency support grants Kensington and Chelsea is also intending to again bridge the gap between the government grant to pay council tax benefit and the full cost.  The government grant covers only 90 per cent of the cost of the benefit but rather than ask its poorest residents to find the remainder the Council will for a third year pay the difference at a cost of £1million. <br />","NULL","NULL","NULL","NULL","Cllr lightfoot ",,,,,"Emergency financial support for people in crisis will be protected in Kensington and Chelsea next year despite the cancellation of the government grant which funds it.","Council steps in to fund emergency help"
"4813","01/08/2014 17:34:00","COMMEMORATION OF THE BEGINNING OF THE FIRST WORLD WAR AT ST MARY ABBOTS","On Monday 4 August the nation will be commemorating the centenary of the outbreak of the First World War, and the Royal Borough of Kensington and Chelsea will be marking the occasion with great solemnity. <br /><br />At the war memorial, outside St Mary Abbots Church, off Kensington High Street, there will be an opportunity for members of the public to light a candle and leave it burning, in remembrance of the outbreak of the war. Candles have been generously sponsored by JH Kenyon Funeral Directors and any donations collected at the war memorial will go to the Royal British Legion.<br /><br />During the day the church will be open as usual for people to come in for quiet contemplation and prayer. In addition, at each hour, passages from the Great War poets and scripture will be read aloud. The first reading will be read at 11am by Councillor Maighread Condon-Simmonds, Mayor of the Royal Borough of Kensington and Chelsea, who will also lay a wreath at the memorial to the postal workers who died between 1914-18. In addition, a bell will be tolled for each of the 177 men from St Mary Abbots who died during the first war.<br /><br />Speaking about the event the Mayor said: &#34;The sheer scale of death and injury during the First World War is almost unimaginable.  Services like this one at St Mary Abbots help us to remember the effect it had on local people&#39;s lives.  It brings home the sacrifice made for us by a previous generation of Kensington residents.&#34;<br /><br />There will be an opportunity for members of the public to write their own prayers, and display them on a prayer wall. These prayers will be read at the services of Morning and Evening Prayer, and Holy Communion during the rest of the week. At 1.05pm, there will be a very simple service of Holy Communion, with a particular focus on the beginning of the war (and the breaking of the peace), to which all are welcome.<br /><br />At 10pm, the day culminates with a vigil, lasting about an hour, including some music, readings, and silence. Once again, all are welcome to this service. It will begin in church, and end with a candlelit procession to the war memorial, where the candles will finally be extinguished, in recollection of the words of Sir Edward Grey after war had been declared, &#34;The lamps are going out all over Europe.&#34;<br />","NULL","NULL","NULL","NULL","Mayor ","Cllr Condon-Simmonds ",,,,"On Monday 4 August the nation will be commemorating the centenary of the outbreak of the First World War, and the Royal Borough of Kensington and Chelsea will be marking the occasion with great solemnity. ","Commemoration of the beginning of the First World War at St Mary Abbots"
"4814","29/07/2014 12:23:00","FOOD GLORIOUS FOOD FOR OXFORD GARDENS PRIMARY SCHOOL PUPILS","Pupils from Oxford Gardens Primary School had food on the brain when they took part in a week-long Food Explorers programme designed to raise awareness about where their food comes from, encourage healthy eating and increase the number of children who have breakfast.<br /> <br />As well as beginning to plant in their new edible teaching garden the pupils took to the road to visit Phoenix Farm, Jamie Oliver&#39;s Recipease and Whole Foods on Kensington High Street for hands-on cooking demonstrations and lessons.<br /> <br />The school also had visits from local food champions and activities included: baking with The Crazy Baker (Sophie Grey), burger making with the Provenance Village Butcher, learning to read food labels and finding hidden sugars with a registered dietitian and a school-wide smoothie making competition.  <br /> <br />Funding, to enable the children to take part in the week&#39;s activities, was allocated by St Helens and Notting Dale Councillors through the City Living Local Life programme.<br /> <br />Councillor Judith Blakeman of Notting Dale ward commented:  &#34;Notting Dale councillors supported Food Explorers because many children from our ward attend Oxford Gardens School. We believe it is vitally important that children learn both how to grow food and how to cook and eat healthily. These skills will now be transmitted down the generations and be invaluable for local families for years to come.&#34;<br /> <br />Councillor Eve Allison of St Helen&#39;s ward, said: &#34;Inquiring, enthusiastic, passionate and enthralled from years one to six, the drive and energy was clearly there as the children and I mucked in to plant the seeds. This will enhance and serve as a platform in instilling and engaging with the earth the role we all have from children to councillors to get involved and to be resourceful.&#34;<br /><br />Commenting on the week, Oxford Garden&#39;s Head Teacher, Sarah Cooper, said: &#34;I can&#39;t thank Food Explorers enough for involving us in the project<br /><br />&#34;The children had a fabulous week with so many experiences that I know they will remember for a very long time.&#34;<br />","NULL","NULL","NULL","NULL","Cllr blakeman ","  Cllr Allison",,,,"Pupils from Oxford Gardens Primary School had food on the brain when they took part in a week-long Food Explorers programme designed to raise awareness about where their food comes from, encourage healthy eating and increase the number of children who have breakfast.","Food glorious food for Oxford Gardens primary school pupils"
"4816","31/07/2014 10:08:00","PLANNERS SERVE NOTICE TO STOP WORKS ON BASEMENT DEVELOPMENT","Alterations to a listed building, including the construction of a basement and the erection of a mews house, have been ordered to stop by planners from the Royal Borough of Kensington and Chelsea unless the developer sticks to the agreed plans.<br /><br />A failure by the developer, BlackOnyx Developments Ltd, to ensure vehicles associated with the works kept to an agreed Construction Traffic Management Plan (CTMP) led to complaints from residents.<br /><br />Planning permission for the work on the listed building at 12 Pembroke Square, W8 was granted subject to a condition that disturbance to residents from construction traffic would be minimised by adherence to the CTMP.<br /><br />After complaints were received about traffic associated with the development planners visited the site and witnessed a breach of the CTMP. Consequently, the Council&#39;s Planning Enforcement Team issued Breach of Condition Notices and a Temporary Stop Notice on the Wednesday 30 July 2014 to deter any further breaches. The effect of these notices means any future breaches of the CTMP by the developers will be a criminal offence. Each breach witnessed could lead to a maximum penalty of £20,000 in a magistrates court and unlimited if heard in a crown court.<br /><br />Construction traffic in residential areas, particularly from basement developments, can have a big impact on the lives of neighbouring residents if developers ignore their planning conditions. The Royal Borough will use all legal powers at its disposal to ensure planning conditions are followed. Over the last three months 14 legal notices have been served by the Planning Enforcement Team on developers for breaching their CTMPs.<br /><br />","NULL","NULL","NULL","NULL",,,,,,"Alterations to a listed building, including the construction of a basement and the erection of a mews house, have been ordered to stop by planners from the Royal Borough of Kensington and Chelsea unless the developer sticks to the agreed plans.","Planners serve notice to stop works on basement development"
"4817","04/08/2014 12:13:00","HEALING WORDS","Residents who&#39;d like to hear how the written word can help in the battle to beat the black dog of depression are invited to support a special mayoral fundraiser at Kensington Town Hall on Thursday 9 October.<br /><br />Along with a chance to find out more about depression and other mental health conditions, guests can hear readings from celebrities whilst being treated to champagne and canapés.<br /><br />The event starts at 6.30pm and tickets are £45. <br /><br />All proceeds will go to SANE, the Royal Borough&#39;s Mayoral charity of the year, which works to improve the lives of people affected by mental illness. <br /><br />The Mayor, Councillor Maighread Condon-Simmonds, said: &#34;I am very much looking forward to hearing some of our celebrity guests read extracts from their favourite works.  SANE recognises that consoling poems and healing words are key weapons in the battle to beat depression and other mental ill-health, and their campaign shows how words can provide solace at a time of need.&#34;<br /><br />Marjorie Wallace, chief executive of SANE, said: &#34;We hope our #healingwords campaign will help people see their sadness in context. From the experience and writings of others who have fought depression, we know that words can provide comfort and strength at times of crisis.&#34;<br /><br />The celebrity readers will be confirmed closer to the event.<br /><br />Tickets can be purchased from the Mayor&#39;s Office by calling 020 7361 3659 or by emailing mayor@rbkc.gov.uk<br /><br />","NULL","NULL","NULL","NULL","Headling words","depression","SANE","Councillor Maighread Condon-Simmonds","The Mayor","Residents who&#39;d like to hear how the written word can help in the battle to beat the black dog of depression are invited to support a special mayoral fundraiser at Kensington Town Hall on Thursday 9 October.","Healing words"
"4818","04/08/2014 11:12:00","ROAD CLOSURES ON SUNDAY 10 AUGUST FOR PRUDENTIAL RIDELONDON","Roads in Kensington and Chelsea will be affected on Sunday 10 August when 24,000 amateur riders and 150 professional cyclists follow a route from east London out to Surrey before returning to London for a finish on The Mall.<br /><br />Cyclists will enter the borough in Knightsbridge and travel along the A4 before passing into Hammersmith and Fulham.  Later in the day cyclists will return to the borough via King&#39;s Road, Ashburnham Road, Cremorne Road, Cheyne Walk and Chelsea Embankment.<br /><br />Closing 100 miles of roads and bridges across London and Surrey will have a major impact on traffic, public transport and parking.  It is not just the roads the cyclists ride along that will be affected.  Many other local roads will be closed to traffic from the early hours of Sunday 10 August to allow the event to pass safely through the borough.  It is anticipated roads will remain closed until the early evening.  Vehicles parked on the route will be removed.  If you normally park your vehicle on any of the roads affected you will need to make alternative arrangements on Sunday 10 August.<br /><br />Roads along the route will be closed from 5am on Sunday 10 August and will not fully reopen until the early evening.<br /><br />In the borough it is anticipated that Knightsbridge, Brompton Road and the Cromwell Road will close at 5am and are not expected to open until approximately 3pm.<br /><br />King&#39;s Road, Cheyne Walk and Chelsea Embankment are expected to close at 7.30am and will remain closed until about 7pm.<br /><br />For further information and advice about travel disruption go to www.tfl.gov.uk/campaign/prudential-ridelondon/travel-disruption-and-advice<br /><br />More information about Prudential RideLondon and details of the route can be found on the organiser&#39;s website www.prudentialridelondon.co.uk<br />","NULL","NULL","NULL","NULL",,,,,,"Roads in Kensington and Chelsea will be affected on Sunday 10 August when 24,000 amateur riders and 150 professional cyclists follow a route from east London out to Surrey before returning to London for a finish on The Mall.","Road closures on Sunday 10 August for Prudential RideLondon"
